subject,question,error_type
abstract_algebra,"Find the degree for the given field extension Q(sqrt(2), sqrt(3), sqrt(18)) over Q.",ok
abstract_algebra,"Statement 1 | A factor group of a non-Abelian group is non-Abelian. Statement 2 | If K is a normal subgroup of H and H is a normal subgroup of G, then K is a normal subgroup of G.",ok
abstract_algebra,"Using Fermat's theorem, find the remainder of 3^47 when it is divided by 23.",ok
abstract_algebra,Statement 1 | For every positive integer n there is a cyclic group of order n. Statement 2 | Every finite cyclic group contains an element of every order that divides the order of the group.,ok
abstract_algebra,"In the group G = {2, 4, 6, 8) under multiplication modulo 10, the identity element is",ok
abstract_algebra,Find all c in Z_3 such that Z_3[x]/(x^3 + x^2 + c) is a field.,ok
abstract_algebra,"Statement 1 | In a finite dimensional vector space every linearly independent set of vectors is contained in a basis. Statement 2 | If B_1 and B_2 are bases for the same vector space, then |B_1| = |B_2|.",ok
abstract_algebra,"Let p = (1, 2, 5, 4)(2, 3) in S_5 . Find the index of <p> in S_5.",ok
abstract_algebra,Compute the product in the given ring. (20)(-8) in Z_26,ok
abstract_algebra,Find the generator for the finite field Z_11.,ok
abstract_algebra,Statement 1 | The unity of a subring must be the same as the unity of the ring. Statement 2 | Every field is an integral domain.,wrong_groundtruth
abstract_algebra,Which of the following statements is true?,ok
abstract_algebra,"Statement 1 | If H and K are subgroups of a group G, then |HK| = |H||K|/|H intersection K|. Statement 2 | A group of order 2p where p is an odd prime is cyclic or isomorphic to D_p.",ok
abstract_algebra,Find the maximum possible order for an element of S_n for n = 10.,ok
abstract_algebra,Find the degree for the given field extension Q(sqrt(2)*sqrt(3)) over Q.,ok
abstract_algebra,Statement 1 | Every solvable group is of prime-power order. Statement 2 | Every group of prime-power order is solvable.,ok
abstract_algebra,Find the characteristic of the ring Z_3 x 3Z.,ok
abstract_algebra,Statement 1 | Every integral domain with characteristic 0 is infinite. Statement 2 | Every integral domain with prime characteristic is finite.,ok
abstract_algebra,Statement 1 | A homomorphism may have an empty kernel. Statement 2 | It is not possible to have a nontrivial homomorphism of some finite group into some infinite group.,ok
abstract_algebra,"Statement 1 | For any two groups G and G', there exists a homomorphism of G into G'. Statement 2 | Every homomorphism is a one-to-one map.",ok
abstract_algebra,Statement 1 | The external direct product of cyclic groups is cyclic. Statement 2 | The external direct product of D_3 and D_4 is isomorphic to D_12.,ok
abstract_algebra,Statement 1 | The image of a group of 6 elements under a homomorphism may have 12 elements. Statement 2 | There is a homomorphism of some group of 6 elements into some group of 12 elements.,ok
abstract_algebra,"Statement 1 | If R is a ring and f(x) and g(x) are in R[x], then deg (f(x)+g(x)) = maximum (deg f(x), deg g(x)). Statement 2 | If F is a field then every ideal of F[x] is principal.",ok
abstract_algebra,"Statement 1 | If a R is an integral domain, then R[x] is an integral domain. Statement 2 | If R is a ring and f(x) and g(x) are in R[x], then deg (f(x)g(x)) = deg f(x) + deg g(x).",ok
abstract_algebra,Statement 1 | Every free abelian group is torsion free. Statement 2 | Every finitely generated torsion-free abelian group is a free abelian group.,ok
abstract_algebra,Find all cosets of the subgroup 4Z of 2Z.,ok
abstract_algebra,Find the characteristic of the ring Z_3 x Z_3.,ok
abstract_algebra,Statement 1 | Every quotient ring of every commutative ring is again a commutative ring. Statement 2 | An ideal N in a ring R with unity 1 is all of R if and only if 1 in N.,wrong_groundtruth
abstract_algebra,The polynomial x^4 + 4 can be factored into linear factors in Z_5[x]. Find this factorization.,ok
abstract_algebra,Statement 1 | Q is an extension field of Z_2. Statement 2 | Every non-constant polynomial over a field has a zero in some extension field.,ok
abstract_algebra,Determine whether the polynomial in Z[x] satisfies an Eisenstein criterion for irreducibility over Q. 8x^3 + 6x^2 - 9x + 24,ok
abstract_algebra,Find the generator for the finite field Z_7.,ok
abstract_algebra,Find the number of elements in the indicated cyclic group: The cyclic subgroup of Z_30 generated by 25.,ok
abstract_algebra,Find the maximum possible order for some element of Z_8 x Z_10 x Z_24.,ok
abstract_algebra,Statement 1 | Every permutation is a one-to-one function. Statement 2 | Every function is a permutation if and only if it is one to one.,ok
abstract_algebra,Statement 1 | Every group of order 42 has a normal subgroup of order 7. Statement 2 | Every group of order 42 has a normal subgroup of order 8.,ok
abstract_algebra,"Statement 1 | If G, H and K are groups of order 4, at least two of them are isomorphic. Statement 2 | If Z_r + Z_s is isomorphic to a subgroup Z_m + Z_n, then r divides m and s divides n.",expert
abstract_algebra,Find the degree for the given field extension Q(sqrt(2) + sqrt(3)) over Q.,ok
abstract_algebra,Find the degree for the given field extension Q(sqrt(2)) over Q.,ok
abstract_algebra,Statement 1| Every group of order p^2 where p is prime is Abelian. Statement 2 | For a fixed prime p a Sylow p-subgroup of a group G is a normal subgroup of G if and only if it is the only Sylow p-subgroup of G.,ok
anatomy,Which of the following is a disorder characterized by uncontrollable episodes of falling asleep during the day?,ok
anatomy,Which statement concerning the atrioventricular bundle is correct?,ok
anatomy,"A ""dished face"" profile is often associated with",ok
anatomy,Gastrulation is the process of,ok
anatomy,The palatine processes begin to fuse at,ok
anatomy,"In relation to the rib, the corresponding intercostal nerve lies",ok
anatomy,Which of the following substances is found in greater quantity in exhaled air?,ok
anatomy,Palatine shelf elevation is due to the effect of,ok
anatomy,Which of the following terms describes the motion of bending the forearm toward the body?,ok
anatomy,Which of the following best describes the structure that collects urine in the body?,ok
anatomy,Which of the following structures is derived from ectomesenchyme?,ok
anatomy,Osteoclasts,ok
anatomy,A patient with damage to their cervical sympathetic chain will show the following signs and symptoms.,ok
anatomy,The mucosa of the upper larynx is innervated by the,ok
anatomy,Cerebrospinal fluid circulates around the brain between the,ok
anatomy,Noradrenaline is the neurotransmitter between which of the two structures below?,ok
anatomy,A malignant tumour is damaging the patient's glossopharyngeal nerve. They will experience,ok
anatomy,"Calcium, potassium, and sodium are classified as which of the following?",ok
anatomy,Which of the following muscles initiates elevation of the mandible?,ok
anatomy,Which of the following allows air to pass into the lungs?,ok
anatomy,A patient suffers damage to the orbit in a road traffic incident resulting in damage to the third cranial nerve. Which of the following signs will be present?,ok
anatomy,Which of the following is the master gland of the endocrine system?,ok
anatomy,On which surfaces of the teeth is dental plaque most likely to accumulate in the mouth of a patient with poor oral hygiene?,ok
anatomy,Which one of the following statements about the growth of the mandible is correct?,ok
anatomy,The thoracic cage is a structural unit important for which of the following functions?,ok
anatomy,Loss of somatic sensation over the anterior two-thirds of the tongue indicates damage to the,ok
anatomy,A patient is stabbed in the neck. You suspect damage to the accessory nerve in the posterior triangle. You would test nerve function by asking the patient to,ok
anatomy,A possible effect of damage to the third cranial nerve by trauma to the orbit is,ok
anatomy,Food is prevented from entering the larynx during the pharyngeal phase of swallowing by,ok
anatomy,The dorsal roots of all spinal nerves contain,ok
anatomy,The walls of the maxillary sinus are sinus is related to,ok
anatomy,You notice a lesion on the labial alveolar mucosa of the lower right lateral incisor tooth of one of your patients and decide to take a biopsy to send for oral pathology report Which nerve would require local anaesthesia in order to carry out a pain-free biopsy?,ok
anatomy,Ectoderm gives rise to,ok
anatomy,The head of the sixth rib articulates with,ok
anatomy,A patient suffers a CVA in the area of the left internal capsule conveying motor neurons to the right leg. The patient's leg will exhibit,ok
anatomy,Which of one of the following statements about the postnatal growth of the maxilla is correct?,ok
anatomy,"A patient has a fracture in which the radius is bent but not displaced, and the skin is intact. This type of fracture is known as which of the following?",ok
anatomy,Which of the following muscles are derived from the first brachial arch?,ok
anatomy,Examination of a patient indicates that they have a medially directed strabismus (squint). This could be due to damage to the,ok
anatomy,A patient suffers a broken neck with damage to the spinal cord at the level of the sixth cervical vertebra.,ok
anatomy,Complete bilateral cleft palate is due to failure of fusion of the,ok
anatomy,Which of the following is a substance that aids the transmission of nerve impulses to the muscles?,ok
anatomy,The lateral pterygoid muscle,ok
anatomy,Which of the following structures is part of the small intestine?,ok
anatomy,The walls of bronchioles contain,ok
anatomy,"Which of the following options completes the following statement? ""The right atrioventricular valve…""",ok
anatomy,The bones of the viscerocranium develop initially by,ok
anatomy,Which muscle is the most active during a right lateral excursion of the mandible?,ok
anatomy,Which of the following is located beneath the diaphragm in the left upper quadrant of the abdominal cavity?,ok
anatomy,Which of the following closes and seals off the lower airway during swallowing?,ok
anatomy,Saliva contains an enzyme that acts upon which of the following nutrients?,ok
anatomy,Which of the following is the point at which an impulse is transmitted from one neuron to another neuron?,ok
anatomy,"In the brain stem, pathways for:",ok
anatomy,Patients with which of the following diseases are treated with injections of vitamin B-12?,ok
anatomy,"In a patient with a normal healthy mouth, you would expect the mucosa covering the alveolar process supporting the mandibular teeth to be",ok
anatomy,Primary motor cortex activity results in,ok
anatomy,A lesion causing compression of the facial nerve at the stylomastoid foramen will cause ipsilateral,ok
anatomy,Which of the following is the large bone found superior to the patella and inferior to the ischium?,ok
anatomy,Oxygenated blood is carried to the heart by which of the following structures?,ok
anatomy,Which of the following is an accessory organ of the gastrointestinal system that is responsible for secreting insulin?,ok
anatomy,The coronal suture joins the,ok
anatomy,During swallowing the,ok
anatomy,Which of the following anatomical regions of abdomen lies just distal to the sternum?,ok
anatomy,Which one of the following brain areas is supplied by branches of the subclavian arteries?,ok
anatomy,Blood flows from the right ventricle of the heart into which of the following structures?,ok
anatomy,Where is the sinoatrial node located?,ok
anatomy,The coronary arteries,ok
anatomy,A pulse may be felt on a patient's face where the,ok
anatomy,Which of the following bones has a process that joins with the zygomatic bone to form the zygomatic arch?,ok
anatomy,Parasympathetic preganglionic axons leave the CNS with the,ok
anatomy,During an inferior alveolar nerve block the needle ideally passes,ok
anatomy,Which of the following foramina pierce the sphenoid bone?,ok
anatomy,"Which of the following is a structural, fibrous protein found in the dermis?",ok
anatomy,In which of the following positions does a patient lie face down?,wrong_groundtruth
anatomy,The respiratory tract is crossed by the isthmus of the thyroid gland at the level of the,ok
anatomy,The crown of a very carious tooth suddenly fractures while the patient is standing eating at a take-away food outlet and a fragment is inhaled. It is more likely to enter the,ok
anatomy,Fertilization of an ovum by a spermatozoon occurs in which of the following structures?,ok
anatomy,"In men, specimens for gonococcal cultures are most commonly obtained from which of the following structures?",ok
anatomy,"When an emergency opening into the airway is required, the cricothyroid membrane should be pierced immediately",ok
anatomy,Which of the following conditions is characterized by the presence of kidney stones (renal calculi)?,ok
anatomy,Male hormones are produced by which of the following?,ok
anatomy,"In the fetus, the ductus arteriosus passes blood from the",ok
anatomy,Which of the following structures accompany the oesophagus through the diaphragm?,ok
anatomy,The infraorbital nerve,ok
anatomy,Macrostomia results from failure of fusion of,ok
anatomy,The parotid duct runs,ok
anatomy,"A patient cuts a peripheral motor nerve in their wrist when they fall through a plate glass window. If the nerve does not regenerate, after about 6 months the muscles it normally innervates will show signs of which of the four options below?",ok
anatomy,The mucosa of the hard palate is,ok
anatomy,Parasympathetic preganglionic nerves leave the central nervous system with the,ok
anatomy,Which of the following best describes the process whereby the stomach muscles contract to propel food through the digestive tract?,ok
anatomy,Which sequence describes the systemic circulation?,ok
anatomy,Which of the following is the lymphoid organ that is a reservoir for red blood cells and filters organisms from the blood?,ok
anatomy,The spheno-occipital synchondrosis,ok
anatomy,The regional lymphatic drainage of the left side of the tip of the tongue is to the,ok
anatomy,You suspect that your patient has an enlarged submandibular salivary gland. You expect the enlarged gland,ok
anatomy,"When you examine a patient who has suffered an unfavourable fracture of the body of the mandible, you would expect the",ok
anatomy,Which of the following cavities are separated by the diaphragm?,ok
anatomy,Which of the following paranasal sinuses open into the middle meatus?,ok
anatomy,Which of the following cranial nerves is related to the sense of smell?,ok
anatomy,A successful infraorbital nerve block will produce anaesthesia of the,ok
astronomy,Why is the Mars Exploration Rover Spirit currently tilted towards the north?,bad_question_clarity
astronomy,Mars has an atmosphere that is almost entirely carbon dioxide.Why isn't there a strong greenhouse effect keeping the planet warm?,ok
astronomy,"Some of Mars'water is frozen in the soil and the ice caps and some was lost due to solar wind stripping but much of the original water is thought to have been lost through another mechanism. What happened to this ""lost""water?",ok
astronomy,The belts and zones of Jupiter are,ok
astronomy,Why does Earth have the strongest magnetic field among the terrestrial worlds?,ok
astronomy,How did Eratosthenes estimate the size of Earth in 240 B.C.?,ok
astronomy,A comet of mass m impacts the earth (mass M radius R) at the minimum impact speed. What is the expression for the total energy released in the impact?,ok
astronomy,Which of the following methods has led to the most discoveries of massive planets orbiting near their parent stars?,ok
astronomy,Which one of these constellations is not located along the Milky Way in the sky?,ok
astronomy,You've made a scientific theory that there is a force between all objects. This forcce has both a dark and light side. When will your theory be proven correct?,ok
astronomy,Our current best observations show that Pluto has,no_correct_answer
astronomy,You’ve made a scientific theory that there is an attractive force between all objects. When will your theory be proven to be correct?,ok
astronomy,Radio telescopes are crucial for astronomical observations. Which one of these well-known radio telescopes has the largest parabolic antenna?,ok
astronomy,What do meteorites reveal about the solar system?,ok
astronomy,What are the conditions necessary for a terrestrial planet to have a strong magnetic field?,ok
astronomy,Previous IAAC rounds featured Proxima/Alpha Centauri as closes star(system) to the Earth. Which one is the second closest star(system)?,ok
astronomy,Which of the following countries has sent landers to Venus?,ok
astronomy,Life on Earth originated from,ok
astronomy,What is the correct numerical value and unit of the Boltzmann constant?,ok
astronomy,How do scientists know that the majority of meteorites come from the asteroid belt?,ok
astronomy,Why does the plasma (ion) tail of a comet always point away from the Sun?,wrong_groundtruth
astronomy,On which planet in our solar system can you find the Great Red Spot?,ok
astronomy,Which planet(s) in the solar system has/have active plate tectonics?,ok
astronomy,Most people use C°(degree Celsius) to measure everyday temperatures. Astronomers prefer to use K (Kelvin) to measure temperatures. Approximately how many Kelvin are 25 C°?,ok
astronomy,When traveling north from the United States into Canada you’ll see the North Star (Polaris) getting _________.,ok
astronomy,Why do Uranus and Neptune have blue methane clouds but Jupiter and Saturn do not?,ok
astronomy,What is not true of Jupiter's magnetic field?,ok
astronomy,The so-called dark energy is a model to explain ...,ok
astronomy,Suppose you live on the Moon. How long is a day (i.e. from sunrise to sunrise)?,ok
astronomy,What is the Cassini division of Saturn's rings?,ok
astronomy,The famous Drake equation attempts to answer the following question:,ok
astronomy,What does the astronomical term ecliptic describe?,ok
astronomy,Why is the sky blue?,ok
astronomy,The distance between the Earth and the star Altair is one million times greater than the distance between the Earth and the Sun. How far is Altair from the Earth?,bad_options_clarity
astronomy,When was the telescope invented by Galileo?,ok
astronomy,The star Betelgeuse is one of the brightest stars in the night sky with remarkable red color. In which constellation is Betelgeuse located?,ok
astronomy,Moons cause/contribute to which of the following?,bad_question_clarity
astronomy,What would weigh the most on the moon?,ok
astronomy,What is the source of the material that causes meteor showers?,ok
astronomy,Find the best approximation for the surface temperature of the Sun:,ok
astronomy,What Mars mission will be landing on May 25 2008 and will dig a trench into (hopefully) ice-rich soil?,ok
astronomy,If you lived on Venus what phases of the Earth would you see? (Assume your telescope can see through Venus’s thick clouds…),ok
astronomy,The second cosmic velocity (or escape velocity) is the speed required by an object to escape the gravitational field of a celestial body with mass M and radius R. Which formula correctly calculates this velocity? (G: gravitational constant),ok
astronomy,You observe the visible spectrum of a star viewed through a cloud of cool hydrogen gas.,ok
astronomy,The visible part of the electromagnetic spectrum is between ...,ok
astronomy,Approximately how old is the surface of Venus?,ok
astronomy,The sky is blue because,ok
astronomy,Why can't we see the Sun's corona except during total solar eclipses?,ok
astronomy,How do scientists know that the majority of meteorites come from the asteroid belt?,ok
astronomy,When will the next major impact occur on Earth?,ok
astronomy,The terrestrial planet cores contain mostly metal because,ok
astronomy,Why is Saturn almost as big as Jupiter despite its smaller mass?,ok
astronomy,The four big moons of Jupiter are Callisto Europa Ganymede and Io. Which one of them has the smallest distance to Jupiter?,ok
astronomy,What type of radiation causes a black hole to evaporate over time?,ok
astronomy,Which of the following was not cited as evidence for life in the martian meteorite ALH84001?,ok
astronomy,Earth has been gradually warming over the past few decades. Based on a great deal of evidence scientists conclude that this warming is caused by ________.,ok
astronomy,How do astronomers think Jupiter generates its internal heat?,ok
astronomy,The constellation ... is a bright W-shaped constellation in the northern sky.,ok
astronomy,Which factor s most important in determining the history of volanism and tectonism on a planet?,ok
astronomy,The name of the black hole in the center of our Milky Way is ...,ok
astronomy,Approximately how far away is the Andromeda Galaxy?,ok
astronomy,The two moons of Mars are called ...,ok
astronomy,All of the following have been cited as evidence for the Giant Impact Hypothesis except:,ok
astronomy,From laboratory measurements we know that a particular spectral line formed by hydrogen appears at a wavelength of 486.1 nanometers (nm). The spectrum of a particular star shows the same hydrogen line appearing at a wavelength of 485.9 nm. What can we conclude?,ok
astronomy,Why do scientists think Mars was once warmer and wetter?,ok
astronomy,According to the Solar Nebular theory what are asteroids and comets?,ok
astronomy,What about asteroids makes them stand out in sky surveys searching for them?,ok
astronomy,From shortest to longest wavelength which of the following correctly orders the different categories of electromagnetic radiation?,ok
astronomy,Jupiter's orbital distance is roughly 5 AU. How many times brighter would the Sun have to be for Europa to receive the same solar flux that we currently receive on Earth (1380W/m2)?,ok
astronomy,As the life of a star progresses heavy elements are produced. The elements form layers around the star in this order (starting from the outer layer):,ok
astronomy,Mars might be a place for future human explorations. However humans can not breathe on the surface of Mars because the atmosphere consists mostly of ...,ok
astronomy,Why is Saturn almost as big as Jupiter despite its smaller mass?,ok
astronomy,What is the source of the material that causes meteor showers?,ok
astronomy,The resolution of a telescope is a measure of its:,ok
astronomy,Mars has an atmospheric pressure of 600 pascals. If the acceleration due to gravity on Mars is (roughly) 4 m/s2 and the surface area of Mars is about 145000000 square km what is the approximate mass of the martian atmosphere?,bad_options_clarity
astronomy,What effect or effects would be most significant if the Moon's orbital plane were exactly the same as the ecliptic plane?,ok
astronomy,How did Eratosthenes estimate the size of the Earth in 240 B.C.?,ok
astronomy,Why did Ptolemy have the planets orbiting Earth on ‘circles upon circles’ in his model of the universe?,ok
astronomy,Which is not an essential requirement for life as we know it?,ok
astronomy,The lunar maria are:,ok
astronomy,Which of the jovian planets have rings?,ok
astronomy,Why are there no impact craters on the surface of Io?,ok
astronomy,The axis of the Earth is tilted at an angle of approximately ... relative to the orbital plane around the Sun.,ok
astronomy,Suppose the angular separation of two stars is smaller than the angular resolution of your eyes. How will the stars appear to your eyes?,ok
astronomy,The Pleiades is an open star cluster that plays a role in many ancient stories and is well-known for containing ... bright stars.,ok
astronomy,Which of these has NOT been one of the main hypotheses considered for the origin of the Moon?,ok
astronomy,What defines the habitable zone around a star?,ok
astronomy,Why are the inner planets made of denser materials than the outer planets?,ok
astronomy,Pluto's extremely cold (~40 K) surface is composed of:,ok
astronomy,Approximately how long does it take Pluto to orbit the Sun once?,ok
astronomy,Which of the following is not true?,ok
astronomy,The Large Magellanic Cloud is ...,ok
astronomy,Venus shows evidence of which of the following surface processes?,ok
astronomy,The astronomical unit parsec (pc) plays a crucial role in astronomy. One parsec is equal to about 3.26 light-years. How is one parsec defined in astronomy?,ok
astronomy,Which of the following is/are common feature(s) of all fresh (i.e. not eroded) impact craters formed on solid surfaces:,ok
astronomy,One astronomical unit (AU) is equal to approximately ...,ok
astronomy,How does the greenhouse effect work?,ok
astronomy,Which of the following is/are true?,ok
astronomy,Why is it thought that the climate on Mars changed when the planet lost its strong magnetic field?,ok
astronomy,What is true about the rotation of a solid disk?,ok
business_ethics,The Anglo-American model being considered the best model in light of the recession in the late 2000s.,bad_question_clarity
business_ethics,Post-modern ethics assert that ethics are context and individual specific and as such have an internal guide to ethics.,bad_question_clarity
business_ethics,Insider trading undermines the fiduciary relationship.,bad_question_clarity
business_ethics,"Cognitive ______ models such as the Theory of _________ serve to try and explain consumer behaviour, but arguably somewhat oversimplify and overestimate individual ________.",ok
business_ethics,"________ is the right of a consumer to control what information companies can collect about them and how it is stored, used and shared.",ok
business_ethics,"Affirmative action involves ________ attempts to target ______ who are _________ within an organisation's workforce, for instance by trying to ______ the proportion of women, disabled or racial minorities in senior management positions.",ok
business_ethics," _________, such as _______ and _______ are processes by which organisations implement environmental goals, policies and responsibilities and ensure regular auditing and reporting, which go beyond legal compliance.",ok
