item_id,clean_text,domain_group,WSCG_Nodes,WSCG_Depth,Syntactic_MDD,Syntactic_Depth,Knowledge_NER_Density,Knowledge_Zipf_Rarity,Semantic_Concreteness,adversarial_raw_count,word_count,Adversarial_Score
11,Sharpening knives: The stone particles stick to the wet piece of wood. He then takes the knife and sharpens it against the wood piece. He,activitynet,13,1.0,2.88,4,0.0,3.6354,3.051,0,28,-0.24361580207162348
12,Sharpening knives: He then takes the knife and sharpens it against the wood piece. He then notices a little black and green poisonous frog sitting next to him. The frog,activitynet,14,4.0,3.1,4,0.0,3.654,2.9472,0,33,-0.5228231449682235
13,Sharpening knives: He then notices a little black and green poisonous frog sitting next to him. The frog then escapes and jumps away. He,activitynet,9,4.0,2.6957,4,0.0,3.6662,2.8711,0,27,-0.18777433349230344
14,Playing bagpipes: A person is playing bagpipes out in a park. A man and two boys watching from a far. The camera,activitynet,10,1.5,2.7727,4,4.0,3.1664,3.0279,0,25,-0.07609139633366335
15,Playing water polo: Two people are seen passing a ball back and fourth in a pool and leads into one speaking to the camera. The man,activitynet,13,1.0,2.76,5,10.7143,2.9346,3.2025,0,28,-0.24361580207162348
16,Having an ice cream: A woman is sitting at a table in a fast food restaurant while eating. She continually speaks to nobody as she eats. She,activitynet,8,0.5,3.5556,3,0.0,3.1677,2.9948,0,30,-0.35529873923026334
17,Cheerleading: A group of cheerleaders run onto a stage before a cheering audience. They,activitynet,8,2.0,3.6429,4,0.0,3.5571,2.8658,0,16,0.4264818208802166
18,"Cheerleading: A group of cheerleaders run onto a stage before a cheering audience. They get into formation, then begin dancing and flipping as male cheerleaders join them. They all",activitynet,15,3.0,3.0667,6,0.0,3.5993,2.7862,0,33,-0.5228231449682235
19,"Cheerleading: They get into formation, then begin dancing and flipping as male cheerleaders join them. They all continue dancing and flipping, doing hand springs. When they",activitynet,15,3.0,2.5714,7,0.0,3.6562,2.8048,0,31,-0.4111402078095834
20,Sharpening knives: A woman is reading a newspaper nearby while he speaks to her and shows her something in his hand. The man sharpens his knives using an electric tool. He,activitynet,12,1.0,2.9032,5,0.0,3.5014,2.9375,0,34,-0.5786646135475435
21,Cutting the grass: A man is outside of a building. He is using commercial lawn mowing equipment. He,activitynet,7,1.5,3.5556,3,0.0,3.3089,3.3182,0,21,0.1472744779836166
22,Having an ice cream: Children bring desert out for their family member. The family,activitynet,9,1.0,3.1429,3,0.0,2.7944,3.3954,0,16,0.4264818208802166
23,Having an ice cream: The family enjoys eating the desert together. The people in the restaurant laugh at the man and he wonders what they are doing. The man,activitynet,12,0.5,2.4643,4,0.0,2.9785,3.05,0,32,-0.4669816763889034
24,Washing face: A black female is shown in a room with a black scarf around her head. Black spots on her faced,activitynet,9,5.5,2.9091,5,0.0,3.0617,3.2014,0,24,-0.020249927754343533
25,Washing face: A black female is shown in a room with a black scarf around her head. Black spots on her faced are then zoomed in on and she begins to apply something on it. Next,activitynet,13,5.5,2.8611,5,0.0,3.2307,2.9167,0,39,-0.8578719564441435
26,Paintball: A helicopter flies in some people who then start playing paintball. They,activitynet,9,3.0,2.7692,5,0.0,3.5057,3.1618,0,15,0.4823232894595366
27,Gargling mouthwash: A young boy and girl are standing over a sink with their mother talking. The mother,activitynet,9,1.5,3.5556,4,0.0,3.427,3.2218,0,20,0.20311594656293663
28,Gargling mouthwash: A young boy and girl are standing over a sink with their mother talking. The mother instructs them on how to brush their teeth while laughing. The boy,activitynet,15,1.5,3.0667,4,0.0,3.5133,3.1607,0,33,-0.5228231449682235
29,Gargling mouthwash: The mother instructs them on how to brush their teeth while laughing. The boy helps his younger sister brush his teeth. She,activitynet,11,1.0,2.6667,5,0.0,3.7762,3.3505,0,27,-0.18777433349230344
30,Gargling mouthwash: She gets them some water to gargle in their mouths. The boy and girl begin playing in the sink. The woman,activitynet,12,3.0,2.5217,4,0.0,3.6583,3.2068,0,26,-0.1319328649129834
31,Washing face: A cat is sitting in a cat bed. It is licking its paw. It,activitynet,9,0.5,2.6875,3,0.0,3.4925,3.29,0,19,0.2589574151422567
32,"Archery: A man in brown jacket is pulling out an arrow from the target board, then he was talking to the camera, then he pull out his bow and started to use it with his bow to hit the target board, he fired his bows several times. The man",activitynet,20,4.0,3.9231,8,0.0,3.1518,3.0178,0,54,-1.6954939851339434
33,Cutting the grass: A man walks outside plugs his lawn mower in and gets ready to mow. He,activitynet,6,0.5,3.1111,6,0.0,3.5855,3.3527,0,20,0.20311594656293663
34,Cutting the grass: A man walks outside plugs his lawn mower in and gets ready to mow. He starts mowing his lawn casually going over all the grass. His dog,activitynet,10,3.5,2.9,6,0.0,3.5811,3.2842,0,33,-0.5228231449682235
35,Cutting the grass: He starts mowing his lawn casually going over all the grass. His dog comes outside and starts to follow him a little while he's closer to the house. The yard,activitynet,10,3.5,2.6364,5,0.0,3.2628,3.0235,0,37,-0.7461890192855034
36,Surfing: A sea is shown with a green forest on seashore. Blond man is standing in seashore and talking to the camera and surfing big waves on the sea. Man,activitynet,14,5.5,2.9333,4,0.0,3.3894,3.1819,0,33,-0.5228231449682235
37,Washing face: We see a bottle of face wash. We,activitynet,6,1.0,2.5,4,0.0,3.188,3.594,0,12,0.6498476951974965
38,Washing face: We see a person holding face wash then putting it on their face. They rinse the face and add the face wash with a brush. We,activitynet,17,2.0,2.75,6,0.0,3.1143,3.3337,0,31,-0.4111402078095834
39,Plastering: A person is seen throwing plaster onto a wall while the camera follows the person close behind. The person,activitynet,9,1.0,3.0,6,0.0,3.2009,3.1174,0,22,0.09143300940429655
40,Applying sunscreen: More and more people begin talking and each of them has a bottle of sun screen and starts to squirt it on their arms in effort to protect their skin. A small blue bottle of the sun screen,activitynet,20,1.5,3.175,8,0.0,3.2132,3.0527,0,42,-1.0253963621821034
41,Beer pong: A group of boys are standing in a room with many clear cups of beer on a table they are all standing around. The boys,activitynet,12,1.0,3.3333,5,0.0,3.1667,2.8717,0,29,-0.2994572706509435
42,"Beer pong: The boys talk, laugh and tease each other before beginning a game of beer pong across a long table using a triangle shaped array of clear cups. One of the ping pongs",activitynet,17,1.5,3.0588,6,2.7027,3.5989,2.8175,0,37,-0.7461890192855034
43,Beer pong: One of the ping pongs lands in the cup and one of the boys begins to drink the beer. The group,activitynet,12,1.5,3.7826,5,4.0,3.6618,2.8506,0,25,-0.07609139633366335
44,Grooming dog: There's a nbc news reporter wearing a red sweater and white shirt talking about dog grooming by scissor wizard a grooming company. The representative from the company,activitynet,17,1.5,3.2,6,6.25,3.4875,3.1984,0,32,-0.4669816763889034
45,Grooming dog: The representative from the company is talking about the services they offer and how those dogs participate in dog shows. A groomer,activitynet,13,1.5,2.5652,5,0.0,3.3083,2.7248,0,26,-0.1319328649129834
46,"Having an ice cream: A woman tries to eat ice cream to a child, but the child refuses to eat the ice cream, then the woman eats the ice cream in the spoon. After",activitynet,17,2.0,4.0,5,0.0,3.1574,3.2184,0,38,-0.8020304878648232
47,"Having an ice cream: After, the woman gives ice cream to the child, and then the woman cleans the child's mouth. An old woman",activitynet,14,1.0,3.6667,5,0.0,3.1286,3.1005,0,29,-0.2994572706509435
48,Clean and jerk: Men are lifting heavy weights over their head several times. A man in a blue shirt is watching one of the men. A man in a gray shirt,activitynet,15,3.0,2.871,3,2.9412,3.035,3.0987,0,34,-0.5786646135475435
49,Grooming dog: In home pet groomers demonstrate how to groom a pet. The person,activitynet,10,5.5,2.7857,5,0.0,3.6878,3.2467,0,16,0.4264818208802166
50,Polishing shoes: A person polish a shoe with a wrapped finger. Then,activitynet,7,0.5,3.0,3,0.0,3.62,3.1,0,14,0.5381647580388565
51,"Zumba: Eight people are standing at the studio, one woman walked at the back of the group. The group",activitynet,10,1.0,3.4,4,9.0909,3.0362,3.0553,0,22,0.09143300940429655
52,Sharpening knives: A man is seen talking to the camera and presents his knife and sharpener. He then glides the knife down the sharpener and shows how other knives work with different sharpeners. He,activitynet,18,4.0,3.0294,5,0.0,3.7759,2.8074,0,37,-0.7461890192855034
53,Playing harmonica: A man walks onto the stage to join a band. A man,activitynet,6,0.5,2.8571,4,0.0,3.085,3.04,0,16,0.4264818208802166
54,Playing harmonica: A man walks onto the stage to join a band. A man plays up front of a band with a harmonica. The keyboardist,activitynet,10,0.5,2.84,4,0.0,3.4525,3.0091,0,28,-0.24361580207162348
55,Running a marathon: A camera pans away from a road and shows a person's feet moving around. Several shots,activitynet,11,3.0,3.45,4,0.0,3.1909,2.8607,0,22,0.09143300940429655
56,"Running a marathon: A camera pans away from a road and shows a person's feet moving around. Several shots are shown of people tying their shoes, hitting a button, and checking a watch. People",activitynet,19,7.5,3.0541,6,0.0,3.128,2.9578,0,40,-0.9137134250234633
57,Using the pommel horse: A gymnast put power chalk power on his hands and stands near the pommel horse. Then,activitynet,12,1.0,3.25,3,0.0,3.6982,2.8527,0,22,0.09143300940429655
58,"Using the pommel horse: A gymnast put power chalk power on his hands and stands near the pommel horse. Then, the gymnast approach the pommel horse to spin around many times. Then",activitynet,17,4.0,2.9697,3,0.0,3.7359,2.7512,0,36,-0.6903475507061836
59,Kayaking: A logo shows that this video is presented by expert village. A man in a small blue boat,activitynet,9,5.5,3.0,4,0.0,3.1582,2.9819,0,21,0.1472744779836166
60,Kayaking: A man in a small blue boat discusses the topic of hand surfing in a hole and gives hints on how to perform this activity. The man,activitynet,12,0.5,3.7857,6,0.0,3.292,2.7878,0,30,-0.35529873923026334
61,Playing harmonica: The camera pans to show a man playing a harmonica while sitting on a log beside a river. A woman walks near the train tracks while a train drives by. The woman,activitynet,16,4.5,2.9412,7,0.0,3.3294,2.9839,0,37,-0.7461890192855034
62,Playing harmonica: A woman walks near the train tracks while a train drives by. The woman sees the harmonica playing man in the distance. She,activitynet,11,1.0,2.88,4,0.0,3.2733,3.0079,0,28,-0.24361580207162348
63,Playing harmonica: The woman sees the harmonica playing man in the distance. She watches him and listens to him playing. She walks away leaving the man. The man,activitynet,9,1.0,2.4286,5,0.0,3.1925,3.0619,0,32,-0.4669816763889034
64,Cleaning windows: A person is shown looking around a city and begins washing windows with his tools. He,activitynet,9,5.5,3.0,5,0.0,3.12,2.9307,0,20,0.20311594656293663
65,Cleaning windows: A person is shown looking around a city and begins washing windows with his tools. He goes up and down the windows at a rapid pace and continues filming himself through the glass. He,activitynet,14,5.5,3.3333,5,0.0,3.2159,2.8045,0,39,-0.8578719564441435
66,Ice fishing: A man dressed in yellow and black winter clothes ice fishes on a a frozen lake. The man,activitynet,12,3.5,3.5,6,0.0,3.1646,3.5016,0,22,0.09143300940429655
67,Ice fishing: A man dressed in yellow and black winter clothes ice fishes on a a frozen lake. The man is reeling in a fish for a long time. The mans catch,activitynet,15,3.5,3.1875,6,2.8571,3.1842,3.1883,0,35,-0.6345060821268633
68,Washing face: Two children are seen sitting in a tub rubbing their faces and another person's hands interacting. The boy,activitynet,12,2.0,2.9524,7,4.3478,3.3333,3.4341,0,23,0.03559154082497651
69,Hitting a pinata: A woman hands a young boy a stick with a little girl grabbing for her attention. The pinata,activitynet,8,0.5,3.7143,4,0.0,3.4283,2.6969,0,23,0.03559154082497651
70,Hitting a pinata: A woman hands a young boy a stick with a little girl grabbing for her attention. The pinata is lifted and the boy begins swinging at the object. The camera,activitynet,12,0.5,3.2424,4,0.0,3.4461,2.6746,0,36,-0.6903475507061836
71,Playing violin: A woman is playing a violin on the street while various people walk around here and behind her. She,activitynet,8,0.5,3.3333,5,0.0,2.9775,3.0295,0,23,0.03559154082497651
72,Making a sandwich: Various pictures of food are shown followed by a person cutting up vegetables and mixing various ingredients into a pot. He,activitynet,10,1.5,2.875,6,0.0,3.2583,3.0081,0,26,-0.1319328649129834
73,Making a lemonade: Ingredients are sitting on a wooden block. A person,activitynet,5,1.5,3.0833,3,0.0,3.3229,3.2075,0,14,0.5381647580388565
74,Hitting a pinata: A man is seen walking closer to a pinata while a large group of people stand around him. The man,activitynet,8,0.5,3.4348,6,0.0,3.16,2.7715,0,25,-0.07609139633366335
75,Ironing clothes: A pair of female hands uses an iron on a piece of baby clothing. The woman,activitynet,10,1.0,3.2778,4,0.0,3.2327,3.2706,0,20,0.20311594656293663
76,Ironing clothes: A pair of female hands uses an iron on a piece of baby clothing. The woman sets the iron aside and flips the clothing. The woman,activitynet,15,1.0,3.0,4,0.0,3.3194,3.0762,0,31,-0.4111402078095834
77,Ironing clothes: The woman sets the iron aside and flips the clothing. The woman uses the iron on the other side of the clothing. The woman,activitynet,12,1.0,2.48,3,0.0,3.4046,2.8735,0,29,-0.2994572706509435
78,Clipping cat claws: We see a chair with a pillow on it. A man holding a cat,activitynet,8,1.0,2.8235,3,0.0,3.5413,3.25,0,19,0.2589574151422567
79,Clipping cat claws: We see a chair with a pillow on it. A man holding a cat sits down on the chair. The man clips the cats fingernails. The man,activitynet,13,1.5,2.6,4,0.0,3.4747,3.1904,0,34,-0.5786646135475435
80,Clipping cat claws: A man holding a cat sits down on the chair. The man clips the cats fingernails. The man strokes the cat's head. The man,activitynet,13,2.0,2.4286,5,0.0,3.3665,3.3345,0,32,-0.4669816763889034
81,Baton twirling: A young girl in a green leotard begins twirling a baton and doing tricks. The girl,activitynet,8,0.5,3.5,4,5.0,3.8718,3.1386,0,20,0.20311594656293663
82,Baton twirling: The girl begins to incorporate her arms and does a flip and continues to flip the baton over her hands and arms. As the young lady,activitynet,12,1.5,2.6667,5,3.3333,3.5536,2.7954,0,30,-0.35529873923026334
83,"Baton twirling: As the young lady continues her performance, she twirls the baton between her legs and over her head, catches it and does a gallop. The rest of the young girl's performance",activitynet,14,1.5,2.8,4,2.6316,3.585,2.8079,0,38,-0.8020304878648232
84,Removing ice from car: We see a man in a driveway cleaning snow from his car. The man,activitynet,8,0.5,2.4444,5,0.0,3.0556,3.3911,0,20,0.20311594656293663
85,Removing ice from car: We see a man in a driveway cleaning snow from his car. The man cleans the snow under his windshield wipers. We,activitynet,11,0.5,2.5769,5,0.0,3.4908,3.4104,0,29,-0.2994572706509435
86,Removing ice from car: The man cleans the snow under his windshield wipers. We see the building behind the car. We do a 360 spin to see the parking lot. The man,activitynet,14,1.0,2.625,3,2.7778,3.3093,3.1583,0,36,-0.6903475507061836
87,Clean and jerk: A man in a blue shirt and shorts lifts a large weight over his head. Another man is filming it. The same man comes back and lifts the weight over his head again. He,activitynet,16,3.0,2.973,5,0.0,3.0718,3.0362,0,41,-0.9695548936027836
88,Throwing darts: A man is seen throwing a dart onto a board and leads into a woman speaking. The man,activitynet,8,0.5,3.15,4,0.0,3.1782,3.0342,0,22,0.09143300940429655
89,Surfing: A group of people are standing in the middle of a forest with a trail of pebbles separating them from a beautiful crystal clear body of water. The camera,activitynet,12,0.5,3.5333,7,0.0,3.1833,2.8982,0,32,-0.4669816763889034
90,Surfing: The camera moves across the water and several people on boats and jet-skis are moving in the water near a large wave. More large waves begin to surface and a man begins surfing the waves. The forest,activitynet,19,3.5,3.475,7,0.0,3.2795,2.9577,0,43,-1.0812378307614232
91,Cutting the grass: A large patch of grass is shown. A man,activitynet,6,1.5,2.75,3,0.0,3.1886,3.1017,0,14,0.5381647580388565
92,Rollerblading: A pilates instructor on skates explains how to strap your risk protectors tight and shows that you need knee pads to protect your knees. The lady,activitynet,15,9.0,3.3333,6,0.0,3.8262,2.757,0,29,-0.2994572706509435
93,Sharpening knives: A woman wearing a tan apron is holding a knife and talking. She then shows an appliance on the table and tilts it upwards. She,activitynet,14,4.0,3.3333,5,0.0,3.7729,2.9465,0,30,-0.35529873923026334
94,Sharpening knives: She then shows an appliance on the table and tilts it upwards. She turns a dial on the appliance and sets it back down. She,activitynet,13,8.0,3.1111,3,0.0,4.0227,2.9505,0,30,-0.35529873923026334
95,Sharpening knives: She turns a dial on the appliance and sets it back down. She picks the knife back up and places it on the appliance. She,activitynet,12,0.5,3.0741,3,0.0,3.939,3.135,0,30,-0.35529873923026334
96,Sharpening knives: She picks the knife back up and places it in the appliance and slowly draws it back several times. She,activitynet,13,7.5,3.5,4,0.0,3.7589,3.0218,0,24,-0.020249927754343533
97,Sharpening knives: She picks the knife back up and places it in the appliance and slowly draws it back several times. She slices a tomato on a wood block with the knife. She,activitynet,17,7.5,3.4848,4,0.0,3.7343,3.0948,0,36,-0.6903475507061836
98,Sharpening knives: A man wearing a black clothes is sharpening the knife on a stone. The man beside him on blue long sleeves drawing something on the table with his finger. The man,activitynet,12,4.0,3.3939,4,0.0,3.2759,3.1748,0,36,-0.6903475507061836
99,Layup drill in basketball: A man is seen speaking to the camera while a shot of a person playing basketball shows behind. The man,activitynet,12,2.0,3.5833,6,3.8462,3.0423,3.1264,0,26,-0.1319328649129834
100,Washing face: A bottle of deep cleansing gel is shown. A woman,activitynet,8,5.5,3.9167,4,0.0,3.3937,3.2075,0,14,0.5381647580388565
101,"Using parallel bars: The male athlete is standing by the two poles, raised his arms up, then jumped on the poles with his arms, while under him, a man pull out a red beam. The athlete",activitynet,14,2.5,3.5897,4,4.7619,3.42,3.0335,0,42,-1.0253963621821034
102,Clean and jerk: A man is in the gym in tight he bends over picks up a weight over his head and drops it back down. He,activitynet,10,1.5,3.6296,5,0.0,3.377,3.0792,0,29,-0.2994572706509435
103,Clean and jerk: A man is in the gym in tight he bends over picks up a weight over his head and drops it back down. He walks back and loosens up before walking back up and doing it again adding more weight. He,activitynet,16,1.5,3.2273,6,0.0,3.4987,3.0847,0,47,-1.3046037050787034
104,Doing a powerbomb: Two other men gets in the ring and are wresting the man in the center. People are around the ring wtching the wrest. Three journalists,activitynet,13,1.0,2.9286,4,6.4516,3.5655,2.8336,0,31,-0.4111402078095834
105,Paintball: A shot of a sunset set is shown followed by peaking smoking and walking around a paint ball pit. The men,activitynet,12,5.5,3.6818,6,0.0,3.41,3.0833,0,24,-0.020249927754343533
106,Paintball: A shot of a sunset set is shown followed by peaking smoking and walking around a paint ball pit. The men speak to one another and lead into running around and playing paint ball. They,activitynet,18,5.5,3.2222,6,0.0,3.26,3.0897,0,39,-0.8578719564441435
107,Scuba diving: We see the underwater sea floor. Two people,activitynet,7,1.0,2.6,3,16.6667,3.4167,3.845,0,12,0.6498476951974965
108,Scuba diving: We see the underwater sea floor. Two people swim in front of the camera. We,activitynet,9,1.0,2.4706,3,10.0,3.4275,3.5782,0,20,0.20311594656293663
109,Scuba diving: We see the underwater sea floor. Two people swim in front of the camera. We see a man holding a camera. We,activitynet,11,1.0,2.3333,4,7.1429,3.2582,3.4812,0,28,-0.24361580207162348
110,Scuba diving: We see a fin enter the camera. The camera is spinning wildly. Bubbles rise out of a tube. A man,activitynet,9,0.5,2.1818,4,3.8462,3.6625,3.1033,0,26,-0.1319328649129834
111,Cleaning sink: A man is seen standing behind a counter speaking to the camera and holding up cleaning products. He puts the products into a sink and begins scrubbing around the sides. He,activitynet,13,1.0,2.9394,7,0.0,3.3129,2.9825,0,36,-0.6903475507061836
112,Playing polo: A group of men on donkeys play a form of polo on a dirt field. The,activitynet,9,1.0,3.7222,5,0.0,3.255,3.0544,0,20,0.20311594656293663
113,Playing polo: A group of men on donkeys play a form of polo on a dirt field. The camera pans to people watching the game. The camera,activitynet,14,1.0,3.1111,5,0.0,3.1463,3.1742,0,30,-0.35529873923026334
114,"Doing fencing: Two men are on a platform, fencing. They",activitynet,7,1.5,3.6364,3,7.6923,3.675,3.457,0,13,0.5940062266181766
115,"Doing fencing: Two men are on a platform, fencing. They jab at each other with their swords. A woman",activitynet,11,1.5,3.1,3,4.3478,3.7486,3.1156,0,23,0.03559154082497651
116,Surfing: There are two men in the water wearing wetsuits and laying on their surfboards as they ride a wave. The camera man,activitynet,13,1.0,2.7391,8,4.0,3.6036,3.1645,0,25,-0.07609139633366335
117,Surfing: The surfer who is in front is happy to riding the wave for so long that he raises his two arms up in the air and then lowers it back down. The surfer in the back,activitynet,15,4.0,3.7568,5,2.5641,3.6191,2.8524,0,39,-0.8578719564441435
118,Ice fishing: Several people are seen drilling holes into the ice while looking down and speaking to the camera. Many pictures are shown of the people fishing as well as pulling fish out of a hole. More people,activitynet,16,3.0,2.8421,6,0.0,2.9683,3.0419,0,41,-0.9695548936027836
119,Putting on shoes: An older women is shown sitting on a front step putting socks on with a small dog standing near her. She,activitynet,7,0.5,2.5652,7,0.0,3.0338,3.0011,0,26,-0.1319328649129834
120,Playing violin: A young man plays violin while wearing headsets. Then,activitynet,7,0.5,2.9091,3,0.0,3.405,3.2388,0,13,0.5940062266181766
121,Layup drill in basketball: A female basketball coach is seen instructing a group of girl basketball players who are standing in line on a basketball court. The first girl,activitynet,16,3.5,3.1724,7,6.4516,3.22,3.3781,0,31,-0.4111402078095834
122,Mooping floor: A group of people are in a house. A man,activitynet,7,2.0,3.75,4,0.0,2.342,3.14,0,14,0.5381647580388565
123,Mooping floor: A group of people are in a house. A man is mopping the floor with a mop. Another boy,activitynet,10,2.0,3.1429,4,0.0,3.0511,3.0653,0,24,-0.020249927754343533
124,Mooping floor: A man is mopping the floor with a mop. Another boy attempts to walk through where he is mopping. The man,activitynet,9,0.5,2.5652,4,0.0,3.484,2.9826,0,26,-0.1319328649129834
125,Mooping floor: Another boy attempts to walk through where he is mopping. The man takes a drink of beer and complains to the camera. He,activitynet,10,0.5,2.6,5,0.0,3.3291,3.0185,0,28,-0.24361580207162348
126,Tennis serve with ball bouncing: A small boy wearing a blue and yellow hoodie and gray sweat pants in standing in an outdoor tennis court. He,activitynet,12,1.5,3.8077,6,0.0,3.3818,3.4865,0,28,-0.24361580207162348
127,Tennis serve with ball bouncing: A small boy wearing a blue and yellow hoodie and gray sweat pants in standing in an outdoor tennis court. He is holding a blue racket as he bounces the yellow and orange tennis ball on the court. He,activitynet,17,1.5,3.7273,6,0.0,3.4177,3.3712,0,47,-1.3046037050787034
128,"Tennis serve with ball bouncing: He starts with his first serve where the ball hits the net. Then he takes another ball, bounces it and serves again. The ball",activitynet,14,2.0,2.4828,4,3.0303,3.3721,3.1092,0,33,-0.5228231449682235
129,Playing harmonica: We see a golden title on a black screen. A man,activitynet,5,1.5,3.0769,3,0.0,3.1086,3.2008,0,15,0.4823232894595366
130,Running a marathon: A shot of a cyclist is shown and then it cuts back to the same man in white speaking. A woman,activitynet,12,2.0,3.5417,4,0.0,3.09,2.8296,0,26,-0.1319328649129834
131,Running a marathon: A runner is running on a track in front of a crowd of people. A man,activitynet,8,1.0,3.0526,5,0.0,2.9263,3.0553,0,21,0.1472744779836166
132,Running a marathon: Runners are running down a track with crowds on both sides and one of the runners stumbles. Another runner is shown and a man is shown talking to the camera. A runner,activitynet,17,5.0,3.3714,5,0.0,3.4156,2.8361,0,38,-0.8020304878648232
133,Running a marathon: The distressed runner is carried away. Runners in distress are shown. A man is talking to the camera. Various runners,activitynet,9,1.0,1.7727,3,0.0,3.3615,2.7514,0,27,-0.18777433349230344
134,Ice fishing: A person is seen standing off in the distance with another standing around a hole. The person,activitynet,8,0.5,3.0,5,0.0,2.9644,3.0242,0,21,0.1472744779836166
135,Sharpening knives: A cooker talks in a kitchen and shows the inside of a sharpener knife that has discs inside. Then,activitynet,12,1.5,2.9048,6,0.0,3.8545,2.7367,0,23,0.03559154082497651
136,"Sharpening knives: A cooker talks in a kitchen and shows the inside of a sharpener knife that has discs inside. Then, the man puts a knife in the sharpener knife to sharpen. After",activitynet,17,2.5,2.9706,6,0.0,3.8559,2.8842,0,37,-0.7461890192855034
137,Blowing leaves: A pile of trees are shown blowing outside on a cobblestone path outside of a building. As the leaves,activitynet,9,1.5,2.9048,4,0.0,3.4242,3.1675,0,23,0.03559154082497651
138,Drinking beer: A man does a barbecue in a yard while singing with people showing drinks in cans and cups. Then people walk to a bar and sing inside drinking beer. Women serves drinks from a fountain. A man,activitynet,22,6.0,2.6667,7,0.0,3.1735,3.1455,0,43,-1.0812378307614232
139,Drinking beer: Women serves drinks from a fountain. A man talks on front a microphone and people continue singing and showing beer. Then,activitynet,15,1.0,2.6087,4,0.0,3.1886,3.1842,0,26,-0.1319328649129834
140,Ice fishing: There are people standing on a frozen body of water and are looking into a small hole that has a fishing wire in it and they watch it as it bobs up and down. The standing man,activitynet,19,3.0,3.2105,6,0.0,3.0362,3.0943,0,41,-0.9695548936027836
141,Ice fishing: The standing man pulls the pole and wire up higher and the man kneeling on the ice pulls the fish out of the ice water and puts it onto the ice. Another man,activitynet,18,2.0,3.5294,5,0.0,3.1711,3.2178,0,37,-0.7461890192855034
142,Playing water polo: Some boys are in the pools playing with volleyballs. There,activitynet,7,3.5,3.5385,4,0.0,3.6657,2.8125,0,15,0.4823232894595366
143,Playing guitarra: A young man sits on a bed. The man,activitynet,5,0.5,2.9091,3,0.0,3.2671,3.1675,0,13,0.5940062266181766
144,"Canoeing: Two men do maneuvers on a canoe pivoting the canoe helping with the paddlers. Then, the men pivot the canoe away from the bow paddlers while paddling fast the oars. After",activitynet,16,1.0,3.0303,6,2.7778,4.2476,2.867,0,36,-0.6903475507061836
145,"Canoeing: Then, the men pivot the canoe away from the bow paddlers while paddling fast the oars. After, the men slides the canoe forward using the oars to advance. Next",activitynet,14,0.5,3.2812,4,0.0,3.9956,2.6976,0,35,-0.6345060821268633
146,Skiing: People are standing on a hill of snow. People,activitynet,6,0.5,2.9,4,0.0,2.8867,3.622,0,12,0.6498476951974965
147,Skiing: People are standing on a hill of snow. People are snowboarding down a hill of snow. People,activitynet,9,1.0,2.6111,4,0.0,3.044,3.5478,0,21,0.1472744779836166
148,Skiing: People are standing on a hill of snow. People are snowboarding down a hill of snow. People are skiing down a hill. The skiiers,activitynet,11,1.0,2.44,4,0.0,3.4308,3.3992,0,29,-0.2994572706509435
