question_id,subject,domain_group,redux_error_type,b_published,b_early_cohort,b_recent_cohort,b_random_cohort_a,b_random_cohort_b
mmlu_abstract_algebra_row_70,abstract_algebra,STEM,no_correct_answer,4.4296637,2.7402678,2.133629,2.3869197,2.1695683
mmlu_abstract_algebra_row_71,abstract_algebra,STEM,ok,-0.60307544,0.4565018,-0.84449965,-0.081201665,-0.77797353
mmlu_abstract_algebra_row_72,abstract_algebra,STEM,ok,4.851906,2.878473,4.17074,3.1977253,3.2221997
mmlu_abstract_algebra_row_73,abstract_algebra,STEM,ok,-1.212472,-1.3002183,-1.0865189,-1.0884739,-1.039588
mmlu_abstract_algebra_row_74,abstract_algebra,STEM,ok,1.9730538,2.987206,1.9907494,1.9819944,1.908954
mmlu_abstract_algebra_row_75,abstract_algebra,STEM,ok,5.416343,2.5302813,3.7515786,2.579239,2.5935585
mmlu_abstract_algebra_row_76,abstract_algebra,STEM,ok,4.3559957,1.8258104,3.9927614,2.6849744,2.848885
mmlu_abstract_algebra_row_77,abstract_algebra,STEM,ok,-2.40252,-2.5410562,-2.0971956,-1.2652842,-2.289913
mmlu_abstract_algebra_row_78,abstract_algebra,STEM,ok,1.5583408,2.6386638,2.569801,1.3785096,1.7343283
mmlu_abstract_algebra_row_79,abstract_algebra,STEM,ok,3.6817403,0.5850212,3.1979427,1.8502995,1.9853678
mmlu_abstract_algebra_row_80,abstract_algebra,STEM,ok,4.167478,2.539938,3.0869744,2.6282258,2.4963443
mmlu_abstract_algebra_row_81,abstract_algebra,STEM,ok,4.783788,2.9119341,3.4127498,2.909828,3.0501616
mmlu_abstract_algebra_row_82,abstract_algebra,STEM,ok,-2.2031753,-1.9008551,-1.7227838,-0.7038739,-2.0934412
mmlu_abstract_algebra_row_83,abstract_algebra,STEM,ok,1.5424726,0.3996568,2.0904992,0.7264093,1.1071628
mmlu_abstract_algebra_row_84,abstract_algebra,STEM,ok,3.7550647,2.7580972,2.9950798,2.5792716,2.7616951
mmlu_abstract_algebra_row_85,abstract_algebra,STEM,ok,3.3511133,-0.0022915816,2.927043,1.3227087,1.7906492
mmlu_abstract_algebra_row_86,abstract_algebra,STEM,ok,-1.4857997,-1.140219,-0.66424763,0.3687464,-0.40214565
mmlu_abstract_algebra_row_87,abstract_algebra,STEM,bad_question_clarity,-1.4675223,0.4818973,-1.3316622,-0.4911013,-1.5869366
mmlu_abstract_algebra_row_88,abstract_algebra,STEM,ok,3.3099866,2.9768736,3.4708781,1.6735116,2.725981
mmlu_abstract_algebra_row_89,abstract_algebra,STEM,ok,0.4433304,0.24252574,2.2688105,0.70083046,0.82503027
mmlu_abstract_algebra_row_90,abstract_algebra,STEM,ok,4.7480235,2.9922872,3.5877786,3.265395,2.9413283
mmlu_abstract_algebra_row_91,abstract_algebra,STEM,ok,-1.5400931,-1.1685144,-1.5866468,-1.0960432,-1.2328352
mmlu_abstract_algebra_row_92,abstract_algebra,STEM,ok,2.6969435,2.396794,3.1304986,1.9636635,2.6772432
mmlu_abstract_algebra_row_93,abstract_algebra,STEM,ok,6.339948,1.5496446,5.3196545,3.1517715,3.6357493
mmlu_abstract_algebra_row_94,abstract_algebra,STEM,ok,1.4686649,1.2458059,1.3915905,1.4025795,1.4566305
mmlu_abstract_algebra_row_95,abstract_algebra,STEM,ok,2.775101,1.4447329,2.0777898,2.0251524,1.6062328
mmlu_abstract_algebra_row_96,abstract_algebra,STEM,ok,4.469957,2.3489656,4.7947736,2.7814577,2.9325757
mmlu_abstract_algebra_row_97,abstract_algebra,STEM,ok,2.801786,1.7922897,2.9698138,1.8931185,1.9373839
mmlu_abstract_algebra_row_98,abstract_algebra,STEM,ok,3.0723076,2.4342813,5.160726,2.3040311,2.8928258
mmlu_abstract_algebra_row_99,abstract_algebra,STEM,wrong_groundtruth,0.18145643,0.22492939,1.027037,0.55232257,0.53271395
mmlu_anatomy_row_0,anatomy,STEM,ok,-1.3874941,-0.33876398,-1.0259507,-0.04417735,-0.8782281
mmlu_anatomy_row_1,anatomy,STEM,ok,-1.1952269,-1.1872997,-1.0683444,-1.1911398,-0.81645244
mmlu_anatomy_row_2,anatomy,STEM,ok,-1.8763074,-1.4957794,-2.337117,-1.2947134,-1.7259544
mmlu_anatomy_row_3,anatomy,STEM,ok,2.1120348,1.29818,1.8668547,1.8876405,1.6082088
mmlu_anatomy_row_4,anatomy,STEM,,-1.5328671,-1.266684,-1.6408961,-1.4346354,-1.2028453
mmlu_anatomy_row_5,anatomy,STEM,ok,5.7599144,3.294748,4.5623693,3.367482,3.5589077
mmlu_anatomy_row_6,anatomy,STEM,ok,-1.1328841,-0.08914213,-1.0167242,-0.5180815,-0.801311
mmlu_anatomy_row_7,anatomy,STEM,,-1.6318691,-1.3416029,-1.7768991,-1.5743818,-1.427233
mmlu_anatomy_row_8,anatomy,STEM,ok,5.7535386,2.9616554,4.809543,2.8067484,3.1251967
mmlu_anatomy_row_9,anatomy,STEM,ok,-0.80027527,0.15772706,-0.9168072,-0.27859312,-0.4228336
mmlu_anatomy_row_10,anatomy,STEM,,-1.142128,-0.404206,-0.978432,-0.59394515,-0.66657794
mmlu_anatomy_row_11,anatomy,STEM,ok,1.4144963,2.608517,1.1438404,1.6250342,1.9156079
mmlu_anatomy_row_12,anatomy,STEM,,-0.021772498,2.9200344,-0.30221194,0.27698076,0.09902353
mmlu_anatomy_row_13,anatomy,STEM,,2.318424,2.2814503,1.9119923,2.1406434,2.0320475
mmlu_anatomy_row_14,anatomy,STEM,ok,5.788206,3.234602,4.4577174,3.3606544,2.960771
mmlu_anatomy_row_15,anatomy,STEM,,-0.62914026,0.25260884,-0.77585554,-0.34886572,-0.061325252
mmlu_anatomy_row_16,anatomy,STEM,,0.19775712,-0.65821576,0.9234281,0.5805768,0.73882806
mmlu_anatomy_row_17,anatomy,STEM,ok,-1.6893703,-0.93640196,-1.6855955,-1.8768511,-1.4207505
mmlu_anatomy_row_18,anatomy,STEM,ok,-0.7711679,0.06957765,-0.80670124,-0.5354613,-0.3797918
mmlu_anatomy_row_19,anatomy,STEM,ok,-1.7118273,-1.4854671,-1.9242446,-1.6198472,-1.5631359
mmlu_anatomy_row_20,anatomy,STEM,ok,-1.1841961,-0.8849201,-1.1729767,-0.92096764,-0.7619348
mmlu_anatomy_row_21,anatomy,STEM,ok,2.5637386,3.092266,0.32011655,1.6957991,1.9058567
mmlu_anatomy_row_22,anatomy,STEM,ok,3.7106082,2.6336546,2.6143475,3.0749373,2.1601527
mmlu_anatomy_row_23,anatomy,STEM,ok,5.6876283,3.248674,4.9058347,3.700574,3.5146124
mmlu_anatomy_row_24,anatomy,STEM,ok,1.9992946,-0.41284204,1.758502,0.9206906,1.3739822
mmlu_anatomy_row_25,anatomy,STEM,ok,6.240851,3.0206027,4.915448,3.3585682,3.5097258
mmlu_anatomy_row_26,anatomy,STEM,ok,-1.6644245,-1.3549739,-1.8715045,-1.5544971,-1.6277786
mmlu_anatomy_row_27,anatomy,STEM,ok,-0.4100378,0.13473946,-0.28184518,0.43502617,-0.14860876
mmlu_anatomy_row_28,anatomy,STEM,,-1.4216453,-1.4974573,-1.4184648,-1.0477701,-1.0436181
mmlu_anatomy_row_29,anatomy,STEM,ok,1.7253246,0.59672165,1.0026793,1.915639,1.1527483
mmlu_anatomy_row_30,anatomy,STEM,ok,-1.4460392,-1.3005625,-1.4853797,-1.0546149,-1.3990765
mmlu_anatomy_row_31,anatomy,STEM,ok,4.208173,2.9226062,2.8200865,2.7793553,2.7143693
mmlu_anatomy_row_32,anatomy,STEM,,-1.3185472,-1.5181342,-1.2355759,-0.94141775,-1.212986
mmlu_anatomy_row_33,anatomy,STEM,wrong_groundtruth,4.3532796,3.1184907,4.846793,3.521874,3.4315104
mmlu_anatomy_row_34,anatomy,STEM,ok,-0.96327055,-0.82499456,-0.92423207,-0.1925365,-0.3051634
mmlu_anatomy_row_35,anatomy,STEM,,1.3034571,2.8928573,3.1949797,1.4070038,2.1105602
mmlu_anatomy_row_36,anatomy,STEM,ok,-1.6651226,-1.266246,-1.7963983,-1.7124327,-1.5690863
mmlu_anatomy_row_37,anatomy,STEM,ok,-1.4738036,-1.1096488,-1.6560725,-1.2441146,-1.2936729
mmlu_anatomy_row_38,anatomy,STEM,ok,-0.67147547,-0.20515902,-0.5105865,-0.2680106,-0.24290398
mmlu_anatomy_row_39,anatomy,STEM,,-1.7319866,-1.781588,-1.9202118,-1.6778016,-1.7495158
mmlu_anatomy_row_40,anatomy,STEM,,-1.6504833,-1.566474,-1.7948165,-1.4167981,-1.58477
mmlu_anatomy_row_41,anatomy,STEM,,4.127657,2.2640097,3.467061,2.2273955,2.7048616
mmlu_anatomy_row_42,anatomy,STEM,ok,-1.199629,-0.8763352,-1.2238545,-0.9753573,-1.1408528
mmlu_anatomy_row_43,anatomy,STEM,,6.25557,0.75086695,5.202174,3.2231894,2.8927424
mmlu_anatomy_row_44,anatomy,STEM,ok,-1.0195792,-0.7714532,-0.8134437,-0.38325682,-0.30754787
mmlu_anatomy_row_45,anatomy,STEM,ok,0.01991449,-0.30701283,0.508435,0.46737158,0.09137431
mmlu_anatomy_row_46,anatomy,STEM,,-1.5466281,-1.6320142,-1.6371616,-1.6730297,-1.1962107
mmlu_anatomy_row_47,anatomy,STEM,,-1.4157269,-1.6000707,-1.3910484,-0.8782493,-1.5914482
mmlu_anatomy_row_48,anatomy,STEM,ok,-1.1772257,-0.9699217,-1.1294338,-0.68815094,-0.97819614
mmlu_anatomy_row_49,anatomy,STEM,,0.64832205,-0.16154279,2.2007022,0.7859194,1.3252692
mmlu_anatomy_row_50,anatomy,STEM,,-2.025641,-1.7004459,-2.098688,-1.9904207,-2.1403093
mmlu_anatomy_row_51,anatomy,STEM,ok,-1.0290039,-0.21434003,-1.2655555,-0.6695911,-0.535335
mmlu_anatomy_row_52,anatomy,STEM,ok,-0.862496,-0.58823097,-0.8426989,-0.6601496,-0.25815696
mmlu_anatomy_row_53,anatomy,STEM,,-1.0745147,0.050325155,-1.2991272,-0.92452735,-0.72249466
mmlu_anatomy_row_54,anatomy,STEM,ok,4.2356253,2.6865635,1.5449789,2.5350616,2.5708187
mmlu_anatomy_row_55,anatomy,STEM,,5.28307,3.138515,4.7990513,3.5913317,3.5449805
mmlu_anatomy_row_56,anatomy,STEM,ok,-1.4517534,-1.4357977,-1.2974691,-0.6441772,-1.5680996
mmlu_anatomy_row_57,anatomy,STEM,ok,-1.7320687,-1.5893986,-1.9206727,-1.7093527,-1.6289345
mmlu_anatomy_row_58,anatomy,STEM,ok,-1.7061627,-1.4762986,-1.8227193,-1.7901374,-1.4035153
mmlu_anatomy_row_59,anatomy,STEM,ok,5.468662,2.9913218,3.563282,3.0724592,2.9413514
mmlu_anatomy_row_60,anatomy,STEM,ok,-1.5914724,-1.1749339,-1.6688801,-1.5651875,-1.420148
mmlu_anatomy_row_61,anatomy,STEM,ok,-0.75828356,0.3585194,-1.1709417,-0.56677616,-0.15547235
mmlu_anatomy_row_62,anatomy,STEM,ok,-0.17414579,-0.34262782,0.20095855,-0.04827693,0.3553997
mmlu_anatomy_row_63,anatomy,STEM,ok,-1.1367193,-1.0551592,-1.1300187,-0.61626154,-0.8399831
mmlu_anatomy_row_64,anatomy,STEM,ok,-0.7319577,0.7325782,-0.73222196,-0.25226426,0.07965394
mmlu_anatomy_row_65,anatomy,STEM,ok,3.6847186,2.7646704,3.2613847,2.576272,2.977288
mmlu_anatomy_row_66,anatomy,STEM,,-1.2339394,-0.86566556,-1.1987278,-1.062281,-0.8956843
mmlu_anatomy_row_67,anatomy,STEM,ok,-0.43732685,2.1532047,-0.6210551,-0.19660881,0.14386685
mmlu_anatomy_row_68,anatomy,STEM,ok,6.0588245,3.2517161,4.943224,3.3880265,3.5156221
mmlu_anatomy_row_69,anatomy,STEM,ok,-0.29487988,1.6854934,-0.5084171,0.60743946,-0.029888602
mmlu_anatomy_row_70,anatomy,STEM,,2.3693068,3.0768077,3.067366,2.129802,3.073628
mmlu_anatomy_row_71,anatomy,STEM,ok,-1.8198532,-1.6829941,-1.9336467,-1.8998563,-1.6839335
mmlu_anatomy_row_72,anatomy,STEM,,-0.041001663,2.7736747,-0.21653906,0.22875495,0.45608968
mmlu_anatomy_row_73,anatomy,STEM,ok,0.19566673,0.1364799,1.7560617,0.060180888,0.60300124
mmlu_anatomy_row_74,anatomy,STEM,ok,-0.307372,0.10706492,0.03473776,0.05575712,0.6232006
mmlu_anatomy_row_75,anatomy,STEM,ok,-0.9052542,-0.9696702,-0.7035851,-0.2687208,-0.49112636
mmlu_anatomy_row_76,anatomy,STEM,ok,-1.7337581,1.5451875,-1.8349634,-0.3461898,-1.2766101
mmlu_anatomy_row_77,anatomy,STEM,ok,-0.7988218,0.20634764,-0.73416764,-0.09614469,-0.6846459
mmlu_anatomy_row_78,anatomy,STEM,ok,-1.7251893,-1.5139166,-1.9128356,-1.6088775,-1.752546
mmlu_anatomy_row_79,anatomy,STEM,ok,-0.022711132,1.023639,0.016874999,0.28130898,1.0030427
mmlu_anatomy_row_80,anatomy,STEM,,-1.4546771,-1.459347,-1.432858,-1.3532431,-1.2523576
mmlu_anatomy_row_81,anatomy,STEM,ok,0.4662752,1.0998205,1.6484082,0.53353775,0.89363056
mmlu_anatomy_row_82,anatomy,STEM,ok,2.7741625,2.9234219,2.1894531,1.845879,1.8595842
mmlu_anatomy_row_83,anatomy,STEM,ok,-1.6840718,-1.5763198,-1.8116759,-1.5555574,-1.3778148
mmlu_anatomy_row_84,anatomy,STEM,,-0.3009992,0.1941098,-0.08281082,0.11054626,0.018272523
mmlu_anatomy_row_85,anatomy,STEM,ok,3.9330008,0.45109406,3.447179,1.9518468,2.6552331
mmlu_anatomy_row_86,anatomy,STEM,ok,0.3934614,0.083155744,0.869291,0.73239267,1.0594695
mmlu_anatomy_row_87,anatomy,STEM,,4.694274,3.2474785,2.8970158,3.3537836,2.4937565
mmlu_anatomy_row_88,anatomy,STEM,ok,-1.3554803,-0.2228557,-1.1405113,-0.3647882,-0.2951364
mmlu_anatomy_row_89,anatomy,STEM,ok,-1.8907869,-2.0230966,-1.9764552,-2.0663784,-2.2187502
mmlu_anatomy_row_90,anatomy,STEM,ok,-1.4318742,-1.2445818,-1.4065748,-1.5027888,-1.2863109
mmlu_anatomy_row_91,anatomy,STEM,ok,5.9064064,2.9755092,4.3320236,3.2809453,3.253769
mmlu_anatomy_row_92,anatomy,STEM,,-0.6317512,-1.2929176,-0.1212789,0.14873637,-0.52863055
mmlu_anatomy_row_93,anatomy,STEM,ok,1.0871973,3.0650558,1.8724662,1.3127645,1.7398436
mmlu_anatomy_row_94,anatomy,STEM,ok,3.2943804,3.168679,2.2954378,2.6257381,2.215726
mmlu_anatomy_row_95,anatomy,STEM,,0.647072,2.7810729,0.14300959,1.2895368,0.867704
mmlu_anatomy_row_96,anatomy,STEM,ok,0.94860595,1.7268547,1.0540704,1.348096,1.0093464
mmlu_anatomy_row_97,anatomy,STEM,ok,3.7690828,2.7676787,3.426401,2.8011858,2.802788
mmlu_anatomy_row_98,anatomy,STEM,ok,3.791466,0.6783424,3.5306365,2.0569286,2.0674996
mmlu_anatomy_row_99,anatomy,STEM,ok,4.792972,1.0980859,4.833545,2.9684474,2.7421665
mmlu_anatomy_row_100,anatomy,STEM,ok,-0.13795619,0.71748626,1.0441057e-05,0.2171888,0.37159708
mmlu_anatomy_row_101,anatomy,STEM,ok,0.6509126,1.7297071,1.6911948,0.92629,1.7959644
mmlu_anatomy_row_102,anatomy,STEM,ok,-0.79854167,0.74457866,-0.9787392,-0.2728848,-0.31579086
mmlu_anatomy_row_103,anatomy,STEM,,5.3789883,3.1537485,4.509551,3.4528613,3.366223
mmlu_anatomy_row_104,anatomy,STEM,ok,-3.45093,0.03157693,-2.0616262,-0.5582284,-1.5909426
mmlu_anatomy_row_105,anatomy,STEM,ok,-0.9213329,0.6530715,-1.1999073,-0.7499829,-0.022306543
mmlu_anatomy_row_106,anatomy,STEM,ok,-1.3314289,-1.1023862,-1.3912622,-1.4229817,-1.0943463
mmlu_anatomy_row_107,anatomy,STEM,,5.4790683,3.0407166,4.892428,3.4170187,3.6378298
mmlu_anatomy_row_108,anatomy,STEM,ok,-1.6585318,-1.2401619,-1.8202567,-1.9198861,-1.4889656
mmlu_anatomy_row_109,anatomy,STEM,,-1.3182814,-1.214579,-1.209009,-0.7901747,-1.2450494
mmlu_anatomy_row_110,anatomy,STEM,ok,-0.8635724,-0.707141,-1.1336051,-0.29432875,-0.09887175
mmlu_anatomy_row_111,anatomy,STEM,ok,0.87402725,-0.5552848,2.5025084,0.7543066,0.8809449
mmlu_anatomy_row_112,anatomy,STEM,ok,-1.7316557,-1.503277,-1.9015146,-1.8887349,-1.7716093
mmlu_anatomy_row_113,anatomy,STEM,,-1.7489376,-1.8751525,-1.7273412,-1.6104939,-1.7283399
mmlu_anatomy_row_114,anatomy,STEM,ok,-1.5770737,-1.5427412,-1.6335553,-1.4507197,-1.4723452
mmlu_anatomy_row_115,anatomy,STEM,ok,-1.4289347,-1.3907566,-1.4947237,-1.317575,-1.3533591
mmlu_anatomy_row_116,anatomy,STEM,ok,-1.3774546,-0.7719779,-1.4532748,-1.1410468,-1.2648225
mmlu_anatomy_row_117,anatomy,STEM,,-1.5597024,-1.6488857,-1.5866969,-1.433155,-1.440246
mmlu_anatomy_row_118,anatomy,STEM,ok,-0.54123425,0.40546554,-0.5445634,-0.05576027,-0.07099862
mmlu_anatomy_row_119,anatomy,STEM,ok,2.3291702,2.664513,1.7141939,1.717621,2.0299108
mmlu_anatomy_row_120,anatomy,STEM,ok,-1.7045913,-1.6872132,-1.8303919,-1.6767522,-1.3863455
mmlu_anatomy_row_121,anatomy,STEM,ok,0.47697574,2.6833787,-0.41465497,0.2538143,0.8639768
mmlu_anatomy_row_122,anatomy,STEM,ok,-1.6510643,-1.4670349,-1.8084981,-1.7604437,-1.6050256
mmlu_anatomy_row_123,anatomy,STEM,ok,-0.59778214,0.68050414,-0.7092852,-0.27573377,-0.00838595
mmlu_anatomy_row_124,anatomy,STEM,ok,-0.49483684,2.2752242,-0.60605806,-0.23870006,0.24853037
mmlu_anatomy_row_125,anatomy,STEM,ok,4.8017178,3.0996742,2.816926,3.5816402,2.9891832
mmlu_anatomy_row_126,anatomy,STEM,ok,-1.7828094,-1.8705494,-1.956995,-1.7701262,-1.8014644
mmlu_anatomy_row_127,anatomy,STEM,,-1.4691021,-0.9435322,-1.6838627,-1.0293574,-1.0085514
mmlu_anatomy_row_128,anatomy,STEM,ok,-1.2646681,-1.2253115,-1.1335399,-0.7141049,-0.9327847
mmlu_anatomy_row_129,anatomy,STEM,ok,5.1310496,3.23878,4.174059,2.8759623,3.4589062
mmlu_anatomy_row_130,anatomy,STEM,ok,-0.9563118,-0.58034605,-0.85397404,-0.60577697,-0.75952744
